Neighborhood,ZIP code,Number of households,Population,EP,Households with Children,Higher Education,MI,HV
,38103.0,8020.0,11816.0,922.0,630.0,7089.0,75763.0,372.0
,38002.0,15152.0,43688.0,4574.0,6237.0,13423.0,115478.0,331.0
,38017.0,19969.0,56225.0,5960.0,7800.0,22800.0,135946.0,440.0
,38016.0,18365.0,44274.0,4574.0,4789.0,12627.0,75719.0,694.0
,38018.0,14215.0,37996.0,3451.0,4451.0,11869.0,89627.0,308.0
,38028.0,2709.0,7699.0,1066.0,976.0,2344.0,150847.0,630.0
,38060.0,4903.0,12360.0,1699.0,1511.0,2685.0,84277.0,331.0
,38066.0,1450.0,3706.0,689.0,330.0,956.0,105282.0,162.0
,38104.0,12946.0,22121.0,2789.0,1798.0,9336.0,56452.0,1517.0
,38105.0,3241.0,4961.0,724.0,426.0,898.0,29316.0,840.0
,38106.0,9126.0,21702.0,3319.0,1783.0,1831.0,29818.0,1656.0
,38107.0,6659.0,14001.0,1632.0,1455.0,2429.0,36393.0,1153.0
,38108.0,6569.0,18425.0,2205.0,2171.0,1211.0,35435.0,1138.0
,38109.0,16706.0,43639.0,6803.0,4677.0,4111.0,36934.0,2183.0
,38111.0,17866.0,42061.0,4830.0,3876.0,10366.0,52806.0,2331.0
,38112.0,6554.0,15107.0,1972.0,1630.0,3858.0,52639.0,1080.0
,38117.0,11393.0,26258.0,3711.0,3025.0,11371.0,93688.0,361.0
,38125.0,15549.0,42732.0,2931.0,5119.0,10103.0,83184.0,324.0
,38126.0,2698.0,5456.0,692.0,993.0,456.0,30825.0,722.0
,38127.0,14183.0,39404.0,3990.0,5371.0,2687.0,37768.0,1774.0
,38128.0,16131.0,43701.0,3764.0,6065.0,3893.0,43166.0,1818.0
,38133.0,8047.0,20900.0,1777.0,2896.0,4537.0,82485.0,293.0
,38134.0,14698.0,38849.0,3553.0,4867.0,5793.0,61172.0,902.0
,38135.0,10925.0,30284.0,3377.0,3392.0,8174.0,92458.0,428.0
,38138.0,10232.0,25171.0,4728.0,3184.0,12204.0,130125.0,656.0
,38139.0,5780.0,16298.0,2289.0,2286.0,8168.0,174052.0,89.0
,38141.0,8030.0,23768.0,1490.0,3303.0,2368.0,64050.0,317.0
,,,,,,,,
,,,,,,,,
,,,,,,,,
